text	label1	label2	label
@NDRnds Wie schön das die Gefängnisse Rekordumsätze vermelden, das wird Ferkel besonders freuen wenn es sich um ihre Fachkräfte handelt, hier lebenslang, wo anders 10 Jahre, Jungfernstieg auch lebenslang, und alle anderen importierten Mörder, das summiert sich....aber 87% wollen das so	OFFENSE	ABUSE	1
@de_sputnik @MarcelJoppa Wäre die BRD eine Demokratie vielleicht, so nicht...	OFFENSE	ABUSE	1
@polizei_nrw_ge Genau der Piotoitsche Gelsenkirchener...wie gut das der Stempel noch frisch ist, dann kann man das toitsch sein sogar noch riechen...	OFFENSE	ABUSE	1
@ZDFheute Wer hat den die Heulsuse ausgebuddelt...	OFFENSE	INSULT	1
@SWRAktuellBW Warum löst man nicht sofort diese Gerichte auf, wenn die nicht bereit sind Urteile zu fällen, nennt sich unnütze Fresser...	OFFENSE	INSULT	1
@Tagesspiegel Da Berlin Schmarotzer und Nehmerland ist, haben es die Geberländer bezahlt, na die freuen sich...	OFFENSE	ABUSE	1
@TAG24LE Wenn sich Linke Linke zu Feinden machen, haben Linke linke Feinde...	OTHER	OTHER	0
@NDRsh @ndr Nun, weil vdLeyen das Schmeirgeld wie Schäuble nicht zurück zahlen will, und sich dadurch erpressbar gemacht hat, wenn die Summen, Spender AUSVERSEHEN an die Öffentlichkeit gehen, Wahrheit geht so einfach und tut Nachricht weh...liebster Ferkelfunk	OFFENSE	ABUSE	1
@SWRAktuellBW Ein anderer hat eine 63 Jährige umgebracht, 10 Jahre Haft, die Gefängnisse füllen sich recht schnell mit Ferkels Gästen....	OFFENSE	ABUSE	1
@NDRinfo Nun, wie auch Schäuble will vdLeyen das Schwarzgeld nicht zurück geben welches zu ihrer Erblindung geführt hat...	OFFENSE	INSULT	1
@ksta_news @seawatch_intl Liebste Lügenprese, die von der Seawatch GESCHLEUSTEN Migranten dürfen an Land, muss es heißen....	OFFENSE	ABUSE	1
@faznet In England, Birmingham war mehr Täter, Missbrauch, aber weit weniger Empörung, WARUM?	OTHER	OTHER	0
"@MDRAktuell Warum heißt es hier \""""Flüchtlinge\"""", aber bei den drei Terror Verdächtigen \""""Männer\"""", allerliebster Ferkelfunk..."	OFFENSE	ABUSE	1
"@ZDFheute Warum heißt es hier \""""Flüchtlinge\"""", aber bei den drei Terror Verdächtigen \""""Männer\"""", liebster Ferkelfunk?"	OFFENSE	ABUSE	1
@bpol_pir @PolizeiSachsen Warum wird hier ein Fass aufgemacht? Denen passiert doch nichts, die bekommen den All inclusiv Urlaub in der BRD Hängematte, werden weder abgeschoben, oder inhaftiert, was also soll dieser Blödsinn hier? Volksverarsche?	OFFENSE	ABUSE	1
"@ZDFheute @seawatchcrew Komisch, wenn diese Klientel unter Terror Verdacht verhaftet wird werden die \""""Männer\""genannt, entsteigen die aber nach der Erpressung ein Schiff sind es \""""Geflüchtete\""""...schon seltsam wie sich Rassen weiter entwickeln"	OFFENSE	ABUSE	1
@MDRAktuell Früher hätte nur ein solcher Verdacht ausgereicht das zurück getreten wird, aber da gab sich die BRD noch den Anschein eine Demokratie zu sein....	OFFENSE	ABUSE	1
@SPIEGELONLINE Ach den gibt es auch noch, war so schön still um den...	OFFENSE	INSULT	1
@SWRAktuell @AndiScheuer Die Höhe des Gehalts wenn Scheuer Bahn Vorstand wird, was sonst....	OFFENSE	ABUSE	1
@StZ_NEWS Weil nach 80 Jahren der Rosenthal Plan umgesetzt, und die BRD in ein Agrar, Siedlungsland umgebaut wird, deshalb, da braucht es nur Traktoren, kaum PKW....	OFFENSE	ABUSE	1
@WDR Hm, dürfte sich um Nachahmungstäter handeln, die wurden durch England, Birmingham inspiriert, komisch nur dass dies hier Empörung losschlägt, Birmingham vom Ferkelfunk unterschlagen wurde...seltsam seltsam...	OFFENSE	ABUSE	1
@rawnezz_picture @ZDFnrw @polizei_nrw_lip @ZDFheute Warum genau sollte jemanden der Selber Denkt die Meinung von Etwas wie sie darstellen interessieren, einem widerlichen Rassisten dem selbst der Name zur Diffamierung herhalten muss? Sie sind der verkappte Herrenmensch....	OFFENSE	INSULT	1
@ZDFnrw @polizei_nrw_lip @ZDFheute In Birmingham, England war das Ausmass weit schlimmer, mehr Täter, weit mehr Opfer, nur die Empörung im Ferkelfunk war wegen falscher Täter Klientel geringer...WARUM?	OFFENSE	ABUSE	1
@dpa @berlinerzeitung In Birmingham, England waren es mehr Täter, mehr Missbrauch, aber weit weniger Empörung in den Ferkel treuen Medien, muss wohl an der Täter Klientel liegen, böser Täter, toitscher, guter Täter nicht toitscher Täter....deshalb Einzelfall ohne Bedeutung, Kulturell Bedingt	OFFENSE	ABUSE	1
@La_Pebbles_ @mz_quedlinburg @mzwebde Warum sollte mich ihre Meinung am Arsch kratzen....	OFFENSE	INSULT	1
@fr 14 Jahre Ferkel stehen für Erfolg, Erfolg, Erfolg, in der Stasi, und von Honecker gelernt...deshalb muss es heißen das Plansoll wurde angepasst...	OFFENSE	ABUSE	1
@tagesschau Wer weiß woher das Fax wirklich kam....einer gewissen Sekte gefällt es in der Opferrolle bis die die Mehrheit stellt, deshalb immer Taqiyya im Hinterkopf halten, Faxe sind so schnell verschickt. Klar das der Ferkelfunk es als erwiesen ansieht...	OFFENSE	ABUSE	1
@morgenpost @harbarth ik hör dir tapsen...die Entscheidung liebster Gutmensch wird für sie richtig teuer....aber so richtig	OFFENSE	INSULT	1
"@Grablicht @mz_quedlinburg @mzwebde Heul leise, hören sie mein Lachen ob ihrer \""""Empörung\""besser....herrlich, und nun stellen sie ihre Adresse online, es werden zehn \""""Gerettete\"""" vor ihre Haustür gestellt, sie versorgen die, integrieren die, bezahlen deren Leben, Dankööö, allerliebster glaubwürdigster Gutmensch"	OFFENSE	ABUSE	1
@mz_quedlinburg @mzwebde Warum genau muss man dahin fahren?	OTHER	OTHER	0
@SPIEGELONLINE Nun, dann sind es wie bei der von Ferkel importierten Gewalt, Mörder, nur eine Anreihung von vielen Einzelfällen, also nicht schlimm, das muss man tolerieren, verstehen, Einzeltäter, psychisch Krank, also die Empörung runter fahren....	OFFENSE	ABUSE	1
@BR24 Ferkel schloss auch eine PKW Maut aus, und das Mörder, Verbrecher mit der Invasion ins Land kommen, also was soll das Wort von einem solchen für einen Wert haben...	OFFENSE	ABUSE	1
"@polizei_nrw_do Und die \""""Dame\""ist wieder frei, kaut was das Zeug hält, und pisst sich immer noch über ihre \""""verhaftung\"""" in die Buchse....aber so süß was hier als Erfolg gefeiert wird..."	OFFENSE	INSULT	1
@AWidmannMauz @RegSprecher @BMI_Bund @BMAS_Bund Nun, #wittenburg zeigt die Folgen von Gutmenschentun, oder #jena #badkreuznach #jungfernstieg #freiburg #würzburg und überall dort wo die von Ferkel importierte Gewalt ihr Blutiges Gesicht zeigt, aber süß wie hier weiter Nazi Propaganda gleich Stimmung gemacht wird....Heil Ferkel	OFFENSE	ABUSE	1
@SPIEGELONLINE Früher als sich die BRD nach den Anschein einer Demokratie gab wäre vdLeyen vom Hof gejagt worden, Heute in Zeiten der Stasi passiert nichts, auch weil die Medien Führer treu berichten, verharmlosen...	OFFENSE	ABUSE	1
@zeitonline Süß wenn Führer Treue Propaganda ein Thema komplett verzerrt, einseitig betrachtet....wer sich Taten wie auf den Philippinen anscbaut weiß warum es kein Populismus ist, sondern Reale Gefahr....aber Ferkelmedien machen wozu geschaffen	OFFENSE	ABUSE	1
@PolizeiUFR Bestimmt nur ein Gefühl das es seit 09/2015 zu mehr Brandstiftungen kommt, so voll Nazi...	OFFENSE	ABUSE	1
@polizeiberlin Hm, stinkt genauso nach Lüge wie die PKS, in der 2017 55.000 Liegevermerke für Strafanzeigen nicht auftauchen, warum sollte hier weniger durch die Behörden gelogen, verfälscht werden....	OFFENSE	ABUSE	1
@slart_bart Ja, weil auch Blöde, wie Sie?, irgendwann erkennen müssen was Ferkel importiert hat, aber bei ihnen ist es verlorenes Hoffen, ihr Tweet zeigt welch Geistes Kind sie sind, sie sind so Dumm wie die die 1933 ohne eigenes Denken dem Führer gefolgt sind, es traf ja nur die Nachbarn...	OFFENSE	ABUSE	1
@abendblatt Welcher Herkunft der Häftling hat braucht nicht extra erwähnt werden....ein Goldstück	OFFENSE	ABUSE	1
@tagesschau Und liebster Ferkelfunk, zufrieden, hat der Führer mit einem Lächeln reagiert das sich seine Gäste so Dankbar zeigen, weiß Ferkel immer noch nicht was sie ändern täte, in Frankfurt wurde ein Rabbi geschlagen, ein 48 Jähriger der Helfen wollte schwer verletzt, Täter......	OFFENSE	ABUSE	1
@FRlokal Und in der Polizei Statistik wird dieser Fall als Toitsch Rechts gewertet, so viel dazu was eine Statistik welche gewollt gefälscht wird wert ist, NICHTS, und was wird der Täter bekommen, Bewährung, Geldstrafe, mehr nicht, siehe Berlin, Gürtel, aber die Opfer leiden lebenslang	OFFENSE	ABUSE	1
@morgenmagazin Man könnte auch den Weltfrieden fordern, ist Realistischer...	OTHER	OTHER	0
@katjaberlin @DIEZEIT Die Muschi will halt mehr Aufmerksamkeit...	OFFENSE	ABUSE	1
@ZDFheute Nun 14 Jahre Ferkel müssen sich ja irgendwo als Erfolg zeigen....schön das die Propaganda nichts verwerfliches daran findet, und wie schon die Nazi Propaganda Tatsachen emotionslos Verkündet!	OFFENSE	ABUSE	1
@BR24 @MVGticker Ein Paradies für von Ferkel importierte Taschendiebe...think positive, es gibt immer Proviteure	OFFENSE	ABUSE	1
@NDRnds Welche Politische Partei steht hinter dem Ausschluss, die AfD kann es nicht sein, dann wäre dies schon in der Überschrift dreimal erwähnt worden....	OFFENSE	ABUSE	1
@Polizei_MSE Der Skandal ist aber das dieser Mörder eine sehr geringe Strafe bekommen wird, und sogar seinen Führerschein wieder bekommen, der hat seine Untauglichkeit bewiesen, Lebenslängliches Fahrverbot, und den Schaden muss der auch komplett bezahlen, zur Not mit Zwangsarbeit!	OTHER	OTHER	0
@faznet @berlinale Kann es sein das hier auf infamster Weise der Holocaust missbraucht, dieser als Werbung benutzt wird, JA	OTHER	OTHER	0
"@tagesschau Und dann nimmt das da daran Teil, muss Satire Mittwoch sein, es geht nur weiter darum Steuergeld zu veruntreuen, offen Diebstahl zu begehen, wer sich die Verpflechtung Industrie, Politik anschaut weiß wie es läuft....aber süß wie die Ferkelmedien Führer treu \""""berichten\"""	OFFENSE	ABUSE	1
"@MDRAktuell Es gibt nicht \""""islamistisch\"""", eine Erfindung des Westen um abzulenken, sich die Gefahr schön zu reden, aber süß wie die Ferkelmedien, Presse diese Lüge weiter aufrecht erhält, the Führer is very amused..."	OFFENSE	ABUSE	1
@morgenpost Das ist eine Sie? Mh...	OFFENSE	ABUSE	1
"@NDRinfo @NDRsh Komisch, sonst heißt diese Klientel beim Ferkelfunk immer, \""""Flüchtlinge\"""", \""""Schutzsuchende\"""", \""""Asylbewerber\"""", warum hier nicht? Warum werden die hier mit Männer beschrieben? Gibt es Bilder von denen als Kinder mit großen Augen welche gezeigt werden können? Ach der Ferkelfunk...."	OFFENSE	ABUSE	1
@NDRinfo @NDRsh Na solche Nachrichten werden die Welcome Klatscher vor Freude ejakulieren lassen, genau das was die gewollt haben trifft ein....	OFFENSE	ABUSE	1
@BR_Oberbayern Kontrolliert dort auch der TÜV SÜD die Gleisanlagen?	OTHER	OTHER	0
@DLFNachrichten Und wer hat diese mutmaßlichen Mörder, Terroristen in die BRD geschleust, denen mit Hilfe der Medien Tor und Tür geöffnet, na, versuchen sie es, nennen sie Ferkel beim Namen, den Spaltkeil der BRD, EU, Gesellschaft....seinen sie nicht Treu wie die Nazi, Stasi Propaganda..	OFFENSE	ABUSE	1
@Rainer_Geyer @MexCybill @morgenpost Danke aber stinkende Correctiv Accounts werden in der Geschichte entsorgt, dahin woher dieser Stasi Dreck gekrochen ist...	OFFENSE	ABUSE	1
@heutejournal Wenn man von seinem Versagen ablenken muss lobt man alles und jeden über den Klee, wie man sieht klappt dies bei der Führer hörigen Slmoka perfekt...keine Frage zur Verantwortung, nichts....	OFFENSE	ABUSE	1
@faznet Wird wie bei Ferkel oder von der Leyen sein, passende Richter, passende Urteile....	OFFENSE	ABUSE	1
@ma_kuse @SWRAktuellBW In #Wiesbaden war auch irgendetwas mit Rücktritt, da war doch was, hatte etwas mit Korruption, Betrug zu tun, nur welche Parteien sind da beiliegt, sie können doch bestimmt helfen, so als echter Führer treuer Hetzer.....	OFFENSE	ABUSE	1
@Potpueree Anstatt sich hier als Rechtschreibnazi zu outen hätten sie sich mit Googeln informieren können, was beweist das sie nicht nur Dumm sind, sondern ein Vollidiot, und meiner nicht Wert sind, sie langweilen, ekeln mich, wie alles dumme...	OFFENSE	INSULT	1
@Carsten_Otten @welt Dummheit ist Personen bezogen, bei ihnen in großer Form....	OFFENSE	INSULT	1
@MexCybill @morgenpost Dann lesen sie es doch nicht, so als dressierter Führer treues etwas, welches wie schon 1933 dem Führer ohne eigenes Denken folgt, und laut schreit wie es der Führer will, KAUFT NICHT BEI..... mit etwas wie ihnen war die Zeit 33-45 kein Problem, dressiert und dumm	OFFENSE	INSULT	1
@_helloyara_ @ZDF Ja in Stendal, da es aber die CDU betraf hatte der Ferkelfunk, ups, natürlich die Stasi Propaganda, ups, äh, der ÖRR dieses Thema sehr dezent behandelt, sprich verleugnet, so wie auch jetzt Wiesbaden, Rücktritte wegen Korruption, SPD CDU, Stillschweigen das es Schreit...	OFFENSE	ABUSE	1
@Potpueree Wenn sie es nicht verstehen zeigt es das sie zu Dumm sind, so lohnt auch kein Erklären sie sind strunz Dumm. ..	OFFENSE	INSULT	1
@miguel_alemania @HAZ @hannover Es braucht einen IQ über 85 um es zu verstehen, was sie disqualifiziert, da geht auch kein erklären, sie sind einfach zu Dumm	OFFENSE	INSULT	1
@fr #jungfernstieg vergessen und wer sich die Polizei Berichte antut weiß wie es um die importierte Toitschenfeindlichkeit bestellt ist, Danke liebe @fr das sie das Thema auch gegen den Willen von Ferkel aufgreifen!	OFFENSE	ABUSE	1
@NDRinfo Ist und bleibt im Amt, was der eigentliche Skandal ist, aber in einem Konstrukt wie der BRD normal....	OFFENSE	ABUSE	1
@welt Wie zerstört man am effektivsten die Zukunft eines Landes? Mh, mal überlegen, man zerstört den einzigen Rohstoff des Landes, die Intelligenz, die Innovation, den Erfindungsreichtum...was soll man sagen Ferkel kann sagen Ziel vollkommen erreicht...	OFFENSE	ABUSE	1
@Klages_an @Tagesspiegel @KitakriseBerlin Wie auch das Video des BAMF was weiter für die Invasion, Asyl Missbrauch in der BRD wirbt...	OFFENSE	ABUSE	1
@TAG24FFM Und einen Tag später ist der wieder da, stellt einen Asyl Antrag und pisst sich vor Lachen über den blöden Michel in die Buchse....herrlich	OFFENSE	ABUSE	1
"@Abendzeitung Und von diesen \""""Männern\""hat Ferkel hunderttausende importiert....ist das nicht schön"	OFFENSE	ABUSE	1
@ZDFhannover Und es gab mal eine Zeit da hätte jemand dafür Verantwortung getragen, aber da war das Konstrukt BRD noch als Alibi eine Demokratie....	OFFENSE	ABUSE	1
@TichysEinblick Der Rosenthal Plan von 1945 nimmt Formen an, ein Agrar, Siedlungs Staat mit blühenden Landschaften, passt doch, IQ wird reduziert, die Industrie zerstört, die Infrastruktur vernachlässigt, usw alles wie es der Rosenthal Plan vorsah...Läuft	OFFENSE	ABUSE	1
@BR_Presse Ein Konstrukt wie die BRD die nach dem Rosenthal Plan umgestaltet wird spielt Bildung keine Rolle....	OFFENSE	ABUSE	1
@faznet Was ist eigendlich aus der Aufarbeitung der Invasion welche von Ferkel eingeleitet wurde geworden. Man liest gar nichts darüber, alles Geheim?	OFFENSE	ABUSE	1
"@bpol_air_fra @Polizei_Ffm Lieber nicht, man wird so schnell Rassist, Fremdenfeindlich genannt wenn es der \""""Falsche\""richtige Täter ist, deshalb Augen zu, lächeln und genießen....sie wissen schon nur ein unerkannter Spitzel ist ein guter IM ERIKA..."	OFFENSE	ABUSE	1
@mopo Hier die echten 10 Gründe 1.Nahles 2.Nahles 3.Nahles 4.Nahles 5.Nahles etc pp...Stegner ist auch schön	OTHER	OTHER	0
@bzberlin Klar dass dies den linken Missfällt....	OTHER	OTHER	0
@MobyNikk @welt Macht endlich diesen umweltheinis einen heißen Hintern da können sie in dem wüstenstad die Umwelt messen die scwachköpfe die die Welt retten wollen.	OFFENSE	INSULT	1
@Rabid_Glow Diese ganze Umwelt scheiße mann kann es nicht mehr hören das sind alles Grüner Sumpf und Schwachköpfe die sich von Steuergeldern finanzieren es kostet Arbeitsplätze die Städte sterben aus und dieser Unsinn hat noch Nahrung von den man darf es nicht mehr aussprechen.	OFFENSE	INSULT	1
@Kri_Fri @welt @tomvitzthum Seien Sie froh das es nichts geben hat in der CSU und SPD brauchen sie keinen der Hirn hat das ist für die eine Gefahr den die haben kein Hirn.mann sieht es immer wieder am tun was sie beschließen Nur Müll	OFFENSE	INSULT	1
@RolandTichy Die sollten sie nach Syrien schicken da kann sie jeden Tag dummes Zeug labern mit der Einstellung hat sie in Deutchland nichts zusuchen	OFFENSE	ABUSE	1
@focusonline die spinnen man die industrie hat doch macht schießt diese kranken umweltdeppen in den wind sie ruienieren deutschland fast alles hat schon Merkel geschafft und der rest schaffen die idioten<U+0001F692><U+0001F692>speert sie ein	OFFENSE	ABUSE	1
@spdde Die SPD soll sich selber ausschließen Nahles und manche bringen nur Mist auf den Tisch.die Menschen die die Wahrheit sagen sind unbequem das ist diese Politik die Deutschland ruiniert. Für jeden töten Deutschen muss ein Politiker zur Verantwortung gezogen werden.muss.	OFFENSE	ABUSE	1
@welt @cem_oezdemir Die ganze Politik von Grünen und anderen Parteien CDU SPD sind alles Menschen die eigendlich die Deutsche Bevölkerung für dumme hält Irrtum, euch zeigen wir noch wo es lang geht. Die Umwelt rantasten und Asylanten Fürsprecher werden dafür noch büßen.	OFFENSE	INSULT	1
erkel will mit aller kraft Deutschland zu vernichten Sie ist nicht mehr Herr ihrer Sinne .	OFFENSE	INSULT	1
@_A_K_K_ @CDU @jensspahn @_FriedrichMerz Die CDU muss für den packt und die betrügerische Wahl karrenbauer muss absteigen auf 12% Überall sind die Regierungen gegen den packt Deutschland wird von irren in den Abgrund gerissen.	OFFENSE	INSULT	1
@vmedick @SPIEGELONLINE @DerSPIEGEL Die Nahles sollte endlich verschwinden dumme Akumemte kein klarer Inhalt in ihren dummen Reden	OFFENSE	INSULT	1
@zeitonline_pol Last uns das nicht einreden natürlich gab es schon immer Faschismus und rechts radikale das war schon immer jetzt wird das benutzt die Menschen zu verunsichern sie brauen einen BU Mann dabei haben wir alle ohne die Gutmenschen Gerechtigkeit.	OFFENSE	INSULT	1
@welt Wenn es erlich ist und nicht zum vorteil der Politik haben wir nichts gegen die MEDIEN	OTHER	OTHER	0
@RolandTichy Alle bitte wir können das nicht mehr ertragen	OTHER	OTHER	0
@claudia_kade @welt Der bundespdräsident was soll Mann sagen SPD mehr gibt's nicht.wir hatten mal mehr davon gehalten.	OTHER	OTHER	0
@SPIEGELONLINE Mann kann es nicht mehr hören sie klammern sich an den Stuhl Frau Nahles es wird nichts.	OTHER	OTHER	0
@spdbt Wir haben festgestellt das die Regierung nicht nur die Presse dirigiert sondern auch soziale Netzwerk zb Facbook man kann nicht mehr seine Meinung schreiben wird gleich gesperrt. Erinnert mich an die DDR.	OFFENSE	ABUSE	1
@spdde Diese Höhle SPD Und besonders Nahles die stützt die SPD in die absolute Tiefe.	OFFENSE	INSULT	1
@SPIEGEL_Politik Er hat es richtig gemacht den Maassen hatte Recht wir werden für Dumm verkauft die wollen uns für Dümmlich verkaufen leider haben wir in Deutschland mehr Speichellecker wie in anderen Ländern Italien Österreich Ungarn Schweden und es hier geht alles den Bach runtet	OFFENSE	INSULT	1
Südländer überfallen 22-jährigen in Neunkrichen es gibt keine andere Wahl wir sehen die Jetzigen interessiert doch gar nicht was jeden Tag passiert wir können uns nicht in unserem Land ausrauben überfallen zusammen schlagen Ermorden und Vergewaltigen lassen.	OFFENSE	ABUSE	1
Ausschreitungen in Chemnitz: Jeder Zweite sieht Ursache bei Merkel nicht nur Merkel auch SPD sind schuld Grüne auch alle haben geschriehen müssen wir nehmen die Armen Krimminellen der größte Teil die die westlichen Werte annehmen Arbeiten mit Kinder okay.	OFFENSE	ABUSE	1
Hammer-Umfrage: AfD bundesweit auf Platz zwei was mekert Nahles wir überlassen dehnen nicht die Straßen.sie ist Geschichte die fragt kein Mensch ihr habt uns lange genug für Doof gehalten jetzt kommt die Abrechnung Nahles Merkel	OTHER	OTHER	0
@tonline_news @c_lindner Herr Lindener warum gehen sie in der Asylantenpolitik nicht auf die Meinungen der Bürger zu diesem Thema ich meine die Krimminellen Asylanten sofort aus weisen lügenpresse nicht für ernst nehmen sondern die Sorgen der Menschen	OFFENSE	ABUSE	1
Die Regierung tut so als währen die Deutschen Menschen schuld nein der Staat ist Schuld wenn die Menschen keine Rechte mehr haben nur mit Krimminellen geht der Staat Deutschland vor die Hunde .	OFFENSE	ABUSE	1
warum tut Deutschland nichts um Tote Deutsche zuverhindern,nein sie holen noch straftäter ins Land wir haben keine Regierung mehr für Deutschland nur nich für Außland Asylanten krimminelle wozu zahlen wir eigentlich noch steuern gegen wie hundertausende Deutsche auf die Str	OFFENSE	ABUSE	1
@CASPERxOFFICIAL @Kraftklub @dendemann @marteria Ist jetzt alles übergeschnappt das Ausland kann vor lachen sich nicht mehr eingriegen	OTHER	OTHER	0
In Deutschland bestimmen wir Deutsche was in unserem Land gemacht wird. Sonst niemand wer das nicht will soll umgehend das Land verlassen Frohe#weihnachten	OTHER	OTHER	0
Familien Nachzug nein wenn die Grünen es wollen sollen sie nach Syrien ziehen wir werden sie nicht vermissen	OTHER	OTHER	0
@1984reload @SPIEGELONLINE Genau das die CDU noch zuviel Stimmen hat den keine Einsicht für die Fehler die sie gemacht haben	OTHER	OTHER	0
Niedersachsen - Ministerpräsident Weil fordert Neuwahlen neuwahlen davor haben die von derCDU Angst wollen doch am Stuhl kleben bleiben.	OFFENSE	INSULT	1
"FDP-Chef Lindner - \""""Angela Merkel wird Bundeskanzlerin bleiben\""Gott bewahre uns davor wir sind schon am Ende sie ruiniert Deutschland"	OFFENSE	INSULT	1
@SPIEGELONLINE Merkel eine Schande für Deutschland überall machen wir Deutsche uns zum Narren	OFFENSE	INSULT	1
@MarleneSchfer1 Klarer Eingriff in die Wahlfreiheit und verfassungswidrig! Diese Republik verblödet rapide!<U+0001F633>	OFFENSE	PROFANITY	1
"@petraschnautzer @gundel_gaukeley @AlexF50451971 Oder Trichophobe? Wegen der Kopfwindel?<U+0001F915><U+0001F9D5> |LBR| Wir sollten Begriffe prägen wegen deren Kampfbegriff \""""Islamophobie\""""!<U+0001F44D><U+0001F923>"	OFFENSE	ABUSE	1
@gundel_gaukeley @petraschnautzer @AlexF50451971 Also kann man die Mohammedkultisten auch Trichophile nennen!<U+0001F44D><U+0001F923><U+0001F923><U+0001F923>	OFFENSE	ABUSE	1
@Frank_Em_ @je_saar Entblocke ihn trotzdem nicht mehr!<U+0001F60B>	OTHER	OTHER	0
@AlexF50451971 @sabinemnch1 @petraschnautzer Die Frage der Fragen!<U+0001F923> |LBR| Aber denen geht es um Machtdemonstration, und dafür müssen die Frauen herhalten!<U+0001F644><U+0001F613>	OTHER	OTHER	0
@Jutta98811424 @afdkrefeld Sag ich ja - MfS!<U+0001F609>	OTHER	OTHER	0
EU umgeht Iran-Sanktionen der USA durch Tauschgeschäfte, Maas/Deutschland im Schulterschluss mit Macron. |LBR| Den Fehler machte schon Hitler, Barterdeal mit Argentinien Lokomotiven gegen Weizen. USA versenkte völkerrechtswidrig dt. Handelsflotte, Ribbentrop erklärte den Krieg.<U+0001F605>	OTHER	OTHER	0
Einen Konservativen machst du stinksauer, wenn du ihn dummdreist anlügst!<U+0001F621> |LBR| Einen Linkoiden machst du stinksauer, wenn du ihm reale Wahrheit sagst!<U+0001F643><U+0001F60B><U+0001F644><U+0001F605><U+0001F633>	OFFENSE	ABUSE	1
